formula_pretty,nelements,structure_count,nsites_min,nsites_median,nsites_max,elements
MgTiZn(BiO3)2,5,15,11,11.0,11,Bi Mg O Ti Zn
MgCu6OF11,4,15,19,19.0,19,Cu F Mg O
MgTe2MoW2(SeS)2,6,15,10,10.0,10,Mg Mo S Se Te W
MgFe6O11F,4,15,19,19.0,19,F Fe Mg O
CoOF,3,15,6,18.0,24,Co F O
CaC2,2,15,3,6.0,12,C Ca
Na3Zr2Si2PO12,5,15,40,80.0,120,Na O P Si Zr
Li3FePCO7,5,15,26,52.0,52,C Fe Li O P
Li2CoO3,3,15,12,12.0,24,Co Li O
Li8Mn5Fe3(BO3)8,5,15,48,48.0,48,B Fe Li Mn O
LiCr(PO3)4,4,15,36,36.0,72,Cr Li O P
HfO2,2,15,3,24.0,102,Hf O
Li3V4(OF3)3,4,15,19,38.0,76,F Li O V
LiV2P4(HO8)2,5,15,50,50.0,75,H Li O P V
Li3Ti2(PO4)3,4,15,40,40.0,80,Li O P Ti
Li3Fe4(BO3)4,4,15,23,46.0,46,B Fe Li O
Li3Mn4O8,3,15,15,30.0,60,Li Mn O
Mg2SiO4,3,15,7,14.0,70,Mg O Si
Ce2Mg,2,15,3,6.0,12,Ce Mg
CaMg2,2,15,3,6.0,12,Ca Mg
Ca(CoO2)2,3,15,14,14.0,56,Ca Co O
NiO2,2,15,3,12.0,48,Ni O
Mg(AgO2)2,3,15,14,28.0,56,Ag Mg O
Zn(AgO2)2,3,15,14,14.0,56,Ag O Zn
Mg(SbO2)2,3,15,14,28.0,56,Mg O Sb
VP2O7,3,15,20,40.0,40,O P V
B,1,15,1,48.0,108,B
Mg2Zn,2,15,6,6.0,6,Mg Zn
Li4Zn(PS4)2,4,15,15,45.0,120,Li P S Zn
PbI2,2,15,3,9.0,45,I Pb
LiCu6OF11,4,15,19,19.0,19,Cu F Li O
LiBiP2O7,4,15,11,44.0,44,Bi Li O P
U,1,14,1,8.0,32,U
MnF3,2,14,8,16.0,40,F Mn
MgSn2,2,14,6,6.0,6,Mg Sn
CeMg2,2,14,6,6.0,12,Ce Mg
NaMn2O4,3,14,7,21.0,56,Mn Na O
Mg(CoO2)4,3,14,13,13.0,13,Co Mg O
